Player,Format,Year,Matches,Innings,Runs,Average,Strike_Rate,Fifties,Hundreds,Highest_Score
Virat Kohli,ODI,2008,5,5,159,31.8,66.0,1,0,54
Virat Kohli,ODI,2009,10,10,325,36.1,73.5,2,1,107
Virat Kohli,ODI,2010,25,24,995,47.4,82.0,7,3,118
Virat Kohli,ODI,2011,34,34,1381,47.6,85.0,8,4,117
Virat Kohli,ODI,2012,17,17,1026,68.4,93.0,5,5,183
Virat Kohli,ODI,2013,23,23,1268,52.8,100.0,7,4,115
Virat Kohli,ODI,2014,21,20,1054,58.6,99.0,5,4,139
Virat Kohli,ODI,2015,20,20,623,36.6,86.0,1,2,138
Virat Kohli,ODI,2016,10,10,739,92.4,100.0,3,3,154
Virat Kohli,ODI,2017,26,26,1460,76.8,99.0,7,6,131
Virat Kohli,ODI,2018,14,14,1202,133.6,102.0,3,6,160
Virat Kohli,ODI,2019,26,26,1377,59.9,96.0,7,5,123
Virat Kohli,ODI,2020,9,9,431,47.9,92.0,5,0,89
Virat Kohli,ODI,2021,3,3,129,43.0,93.0,2,0,66
Virat Kohli,ODI,2022,11,11,302,27.5,87.0,2,1,113
Virat Kohli,ODI,2023,27,24,1377,72.5,99.0,8,6,166
Virat Kohli,ODI,2024,3,3,58,19.3,83.0,0,0,54
Virat Kohli,ODI,2025,20,19,230,70.0,96.0,2,1,128
Virat Kohli,ODI,2026,7,7,661,94.4,98.0,2,3,124
Virat Kohli,Test,2011,4,8,202,22.4,45.0,0,0,63
Virat Kohli,Test,2012,9,15,689,49.2,50.0,3,3,116
Virat Kohli,Test,2013,8,12,616,56.0,52.0,2,2,119
Virat Kohli,Test,2014,10,19,847,44.6,51.0,3,4,169
Virat Kohli,Test,2015,9,16,640,42.7,50.0,2,2,147
Virat Kohli,Test,2016,12,18,1215,75.9,56.0,2,4,235
Virat Kohli,Test,2017,10,16,1059,75.6,54.0,5,5,243
Virat Kohli,Test,2018,13,24,1322,55.1,59.0,5,5,153
Virat Kohli,Test,2019,8,11,612,68.0,58.0,2,2,254
Virat Kohli,Test,2020,3,5,116,19.3,49.0,1,0,74
Virat Kohli,Test,2021,11,19,536,28.2,46.0,4,0,72
Virat Kohli,Test,2022,6,11,265,26.5,48.0,1,0,79
Virat Kohli,Test,2023,8,12,671,55.9,56.0,1,2,186
Virat Kohli,Test,2024,12,15,440,31.4,50.0,0,1,121
Virat Kohli,T20I,2010,1,1,26,26.0,118.0,0,0,26
Virat Kohli,T20I,2011,8,8,188,31.3,129.0,1,0,67
Virat Kohli,T20I,2012,8,8,185,46.2,132.0,2,0,78
Virat Kohli,T20I,2013,8,8,255,42.5,138.0,2,0,78
Virat Kohli,T20I,2014,9,9,385,96.2,129.0,4,0,72
Virat Kohli,T20I,2015,2,2,73,36.5,127.0,1,0,55
Virat Kohli,T20I,2016,15,13,641,106.8,138.0,7,0,90
Virat Kohli,T20I,2017,10,10,299,37.4,122.0,1,0,64
Virat Kohli,T20I,2018,10,10,211,30.1,135.0,1,0,61
Virat Kohli,T20I,2019,10,10,466,77.7,148.0,5,0,94
Virat Kohli,T20I,2020,9,9,295,36.9,141.0,3,0,85
Virat Kohli,T20I,2021,10,10,299,74.8,140.0,4,0,80
Virat Kohli,T20I,2022,20,20,781,55.8,138.0,7,1,122
Virat Kohli,T20I,2023,2,2,55,27.5,141.0,0,0,36
Virat Kohli,T20I,2024,3,11,29,14.5,116.0,0,0,24
