Player,Career_Type,Milestone,Format,Year,Opponent_or_Event,Venue
Virat Kohli,International,ODI debut,ODI,2008,vs Sri Lanka,Dambulla
Virat Kohli,International,1st ODI century,ODI,2009,vs Sri Lanka,Kolkata
Virat Kohli,International,1st Test century,Test,2012,vs Australia,Adelaide
Virat Kohli,International,T20I century,T20I,2022,vs Afghanistan,Dubai
Virat Kohli,International,50th ODI hundred,ODI,2023,vs New Zealand,Mumbai
Virat Kohli,International,Retired from T20Is after World Cup,T20I,2024,vs South Africa,Barbados
Virat Kohli,International,International career totals snapshot,ALL,2026,"559 matches, 28215 runs, 146 fifties, 85 hundreds",Overall International
Virat Kohli,IPL,Most runs in a single IPL season,IPL,2016,973 runs in season,Various
Virat Kohli,IPL,IPL career totals snapshot,IPL,2026,"283 matches, 9336 runs, 68 fifties, 9 hundreds, SR 134.80",Overall IPL
Virat Kohli,Overall,Overall career totals snapshot,ALL,2026,"842 matches, 37551 runs, 214 fifties, 94 hundreds",International + IPL
